ENTITY_ID;NAME;TYPE;SITE;CANTON;MAX_WATER_VOLUME_M3_S;MAX_POWER_MW;START_OF_OPERATION_FIRST;START_OF_OPERATION_LAST;LATITUDE;LONGITUDE;STATUS;WATERBODIES;IMAGE_URL
207800;Bannwil;L;Bannwil;BE;435.0;26.8;1970;2000;47.2293703;7.73230443;im Normalbetrieb;Aare;https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/1975_Bannwil_Betrieb_04.jpg/300px-1975_Bannwil_Betrieb_04.jpg
208100;Ruppoldingen;L;Boningen;SO;475.0;21.5;2000;2000;47.31228882;7.87770748;im Normalbetrieb;Aare;
208200;Aarburg;L;Aarburg;AG;3.0;0.4;1889;2006;47.31911502;7.90315918;im Normalbetrieb;Wigger;
208250;Dünnern, Olten;L;Olten;SO;5.0;0.37;2015;-1;47.34863519;7.89865187;im Normalbetrieb;Dünnern;
208300;Gösgen;L;Niedergösgen;SO;380.0;49.0;1917;2000;47.36942222;7.97945902;im Normalbetrieb;Aare;
208400;Aarau Stadt;L;Aarau;AG;394.0;16.08;1893;1964;47.39477874;8.0358783;im Normalbetrieb;Aare;
208500;Rüchlig - HKW;L;Aarau;AG;360.0;8.8;1929;2014;47.39974266;8.04984331;im Normalbetrieb;Aare;
208560;Rüchlig-Dotierzentrale;L;Aarau;AG;40.0;1.0;2014;2014;47.39910045;8.05222039;im Normalbetrieb;Aare;
208600;Rupperswil-Auenstein;L;Auenstein;AG;492.0;39.3;1945;1993;47.41179357;8.11477451;im Normalbetrieb;Aare;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Kraftwerk_Rupperswil-Auenstein_20130309.JPG/300px-Kraftwerk_Rupperswil-Auenstein_20130309.JPG
208650;Rupperswil-Auenstein;L;Rupperswil;AG;25.0;1.67;1945;2010;47.41053753;8.11422859;im Normalbetrieb;Aare;
208700;Niederlenz;L;Niederlenz;AG;4.5;0.4;1943;1943;47.39918533;8.17621346;im Normalbetrieb;Aabach;
208750;Wildegg-Brugg;L;Schinznach-Dorf;AG;11.5;0.6;1953;1953;47.45143703;8.163014;im Normalbetrieb;Aare;
208800;Wildegg-Brugg;L;Villnachern;AG;410.0;49.7;1953;1997;47.46884302;8.16988303;im Normalbetrieb;Aare;
208850;Beznau;L;Döttingen;AG;140.0;6.0;2001;2001;47.55004815;8.22679593;im Normalbetrieb;Aare;
208900;Beznau;L;Döttingen;AG;418.0;19.5;1902;1927;47.55780231;8.2371417;im Normalbetrieb;Aare;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Aarekraftwerk_%28Beznau%29_2007.jpg/300px-Aarekraftwerk_%28Beznau%29_2007.jpg
209000;Klingnau;L;Klingnau, Gippingen;AG;810.0;37.5;1935;1935;47.59457636;8.2257281;im Normalbetrieb;Aare;https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Kraftwerk_Klingnau_Oberwasser_20140706.JPG/300px-Kraftwerk_Klingnau_Oberwasser_20140706.JPG
300100;Hospental;L;Hospental;UR;1.6;1.95;1902;1977;46.62055834;8.56904426;im Normalbetrieb;Gotthardreuss;
